Rk,Franchise,sport,Lg,From,To,Yrs,G,W,L,W-L%,Plyfs,Div,Conf,Champ
10001,Atlanta Hawks,NBA,NBA,1949-50,2022-23,74,5855,2891,2964,0.494,49,12,0,1
10002,St. Louis Hawks,NBA,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
10003,Milwaukee Hawks,NBA,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
10004,Tri-Cities Blackhawks,NBA,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
10005,Boston Celtics,NBA,NBA/BAA,1946-47,2022-23,77,6032,3570,2462,0.592,60,33,10,17
10006,Brooklyn Nets,NBA,NBA/ABA,1967-68,2022-23,56,4530,1996,2534,0.441,31,5,2,2
10007,New Jersey Nets,NBA,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
10008,New York Nets,NBA,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
10009,New Jersey Americans,NBA,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
10010,Charlotte Bobcats,NBA,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
10011,Charlotte Hornets,NBA,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
10012,Chicago Bulls,NBA,NBA,1966-67,2022-23,57,4598,2344,2254,0.51,37,9,6,6
10013,Cleveland Cavaliers,NBA,NBA,1970-71,2022-23,53,4271,1984,2287,0.465,23,7,5,1
10014,Dallas Mavericks,NBA,NBA,1980-81,2022-23,43,3461,1747,1714,0.505,24,4,2,1
10015,Denver Nuggets,NBA,NBA/ABA,1967-68,2022-23,56,4531,2310,2221,0.51,38,13,0,0
10016,Denver Rockets,NBA,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
10017,Detroit Pistons,NBA,NBA/BAA,1948-49,2022-23,75,5916,2813,3103,0.475,42,11,5,3
10018,Fort Wayne Pistons,NBA,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
10019,Golden State Warriors,NBA,NBA/BAA,1946-47,2022-23,77,6021,2923,3098,0.485,37,12,7,7
10020,San Francisco Warriors,NBA,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
10021,Philadelphia Warriors,NBA,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3,0,2
10022,Houston Rockets,NBA,NBA,1967-68,2022-23,56,4524,2328,2196,0.515,34,8,4,2
10023,San Diego Rockets,NBA,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0,0,0
10024,Indiana Pacers,NBA,NBA/ABA,1967-68,2022-23,56,4530,2310,2220,0.51,36,9,1,3
10025,Los Angeles Clippers,NBA,NBA,1970-71,2022-23,53,4278,1792,2486,0.419,17,2,0,0
10026,San Diego Clippers,NBA,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0,0,0
10027,Buffalo Braves,NBA,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0,0,0
10028,Los Angeles Lakers,NBA,NBA/BAA,1948-49,2022-23,75,5922,3503,2419,0.592,63,33,19,17
10029,Minneapolis Lakers,NBA,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4,0,5
10030,Memphis Grizzlies,NBA,NBA,1995-96,2022-23,28,2229,971,1258,0.436,13,2,0,0
10031,Vancouver Grizzlies,NBA,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0,0,0
10032,Miami Heat,NBA,NBA,1988-89,2022-23,35,2803,1475,1328,0.526,24,16,6,3
10033,Milwaukee Bucks,NBA,NBA,1968-69,2022-23,55,4443,2340,2103,0.527,35,18,3,2
10034,Minnesota Timberwolves,NBA,NBA,1989-90,2022-23,34,2712,1091,1621,0.402,11,1,0,0
10035,New Orleans Pelicans,NBA,NBA,2002-03,2022-23,21,1686,782,904,0.464,9,1,0,0
10036,NO/Ok. City Hornets,NBA,NBA,2005-06,2006-07,2,164,77,87,0.47,0,0,0,0
10037,New Orleans Hornets,NBA,NBA,2002-03,2012-13,9,722,342,380,0.474,5,1,0,0
10038,New York Knicks,NBA,NBA/BAA,1946-47,2022-23,77,6023,2924,3099,0.485,44,8,4,2
10039,Oklahoma City Thunder,NBA,NBA,1967-68,2022-23,56,4524,2413,2111,0.533,33,11,4,1
